"","stateAbb","percent","year"
"1","AL",0.00956405014426219,1925
"2","AR",0.0170057448153325,1925
"3","AZ",0.060732660992918,1925
"4","CA",0.19378383032143,1925
"5","CO",0.100736115785456,1925
"6","CT",0.0404236752940182,1925
"7","DE",0.0606556014575658,1925
"8","FL",0.0510695691827765,1925
"9","GA",0.0166049477079457,1925
"10","IA",0.177373230259985,1925
"11","ID",0.05609102427219,1925
"12","IL",0.176143565472694,1925
"13","IN",0.121948421200836,1925
"14","KS",0.215568718904304,1925
"15","KY",0.0180026047977392,1925
"16","LA",0.0432845868234643,1925
"17","MA",0.109030028115372,1925
"18","MD",0.0846941947308006,1925
"19","ME",0.0292853295524449,1925
"20","MI",0.0741135419902405,1925
"21","MN",0.152245005332665,1925
"22","MO",0.0444952929562998,1925
"23","MS",0.00966777755235912,1925
"24","MT",0.135775724777214,1925
"25","NC",0.0244775327344185,1925
"26","ND",0.22035467762272,1925
"27","NE",0.143843128074767,1925
"28","NH",0.0256560337081048,1925
"29","NJ",0.104077633561347,1925
"30","NM",0.0342052828876078,1925
"31","NV",0.0632560805556489,1925
"32","NY",0.112573886647254,1925
"33","OH",0.123245646685878,1925
"34","OK",0.0619028589375438,1925
"35","OR",0.0944327263843573,1925
"36","PA",0.090283369199591,1925
"37","SC",0.0161900585583627,1925
"38","SD",0.207190740537528,1925
"39","TN",0.0175447285677314,1925
"40","TX",0.0647270550439542,1925
"41","UT",0.0364515664321582,1925
"42","VA",0.036616235132752,1925
"43","VT",0.0614862842903877,1925
"44","WA",0.0676495629618393,1925
"45","WI",0.132046767588641,1925
"46","WV",0.0214927239971717,1925
"47","WY",0.0818516514869906,1925
"48","AL",0.0154030565256096,1930
"49","AR",0.0181007155394468,1930
"50","AZ",0.0795148012813541,1930
"51","CA",0.244829159593765,1930
"52","CO",0.157589907767478,1930
"53","CT",0.118344272069597,1930
"54","DE",0.14482312665247,1930
"55","FL",0.0974305075590907,1930
"56","GA",0.0211312751245271,1930
"57","IA",0.293064263853304,1930
"58","ID",0.101341071854722,1930
"59","IL",0.283249954202601,1930
"60","IN",0.221963621975226,1930
"61","KS",0.419090905380057,1930
"62","KY",0.0265724961152891,1930
"63","LA",0.0333331415346099,1930
"64","MA",0.124540850256042,1930
"65","MD",0.160150883713731,1930
"66","ME",0.0604071664506444,1930
"67","MI",0.142215808016705,1930
"68","MN",0.256952341322831,1930
"69","MO",0.0855003531142856,1930
"70","MS",0.0193541022079578,1930
"71","MT",0.32051098422782,1930
"72","NC",0.037762013560598,1930
"73","ND",0.437602146508221,1930
"74","NE",0.289224563679882,1930
"75","NH",0.0640482196842506,1930
"76","NJ",0.242316596578112,1930
"77","NM",0.0681933433587589,1930
"78","NV",0.10713198120526,1930
"79","NY",0.209129348756617,1930
"80","OH",0.223679509072558,1930
"81","OK",0.132499495237307,1930
"82","OR",0.156718596971036,1930
"83","PA",0.15732919812855,1930
"84","SC",0.0189440569470429,1930
"85","SD",0.373511015086086,1930
"86","TN",0.0241509971999332,1930
"87","TX",0.111310696870507,1930
"88","UT",0.0487921941049144,1930
"89","VA",0.0672387417651455,1930
"90","VT",0.105823794177775,1930
"91","WA",0.125448413694105,1930
"92","WI",0.231610995268317,1930
"93","WV",0.0351158137789505,1930
"94","WY",0.205722297388674,1930
"95","AL",0.0276172009205278,1940
"96","AR",0.0379961441303737,1940
"97","AZ",0.140316089535958,1940
"98","CA",0.314999932036518,1940
"99","CO",0.315570668912176,1940
"100","CT",0.214850349806564,1940
"101","DE",0.242172141816826,1940
"102","FL",0.111441080416845,1940
"103","GA",0.0381486690366817,1940
"104","IA",0.554426593213585,1940
"105","ID",0.235790960887597,1940
"106","IL",0.487107542229378,1940
"107","IN",0.376932529405142,1940
"108","KS",0.586329008369758,1940
"109","KY",0.0479862964816956,1940
"110","LA",0.0630684195361992,1940
"111","MA",0.176085735985231,1940
"112","MD",0.234306064154526,1940
"113","ME",0.170444698779332,1940
"114","MI",0.265914670423769,1940
"115","MN",0.51261258086568,1940
"116","MO",0.154344505432903,1940
"117","MS",0.0258049779389329,1940
"118","MT",0.4348787532284,1940
"119","NC",0.0475526851936166,1940
"120","ND",0.576426507117431,1940
"121","NE",0.507427683306976,1940
"122","NH",0.165832351941438,1940
"123","NJ",0.373640503658464,1940
"124","NM",0.161543407473715,1940
"125","NV",0.182415413969155,1940
"126","NY",0.316605793935,1940
"127","OH",0.362530123274045,1940
"128","OK",0.262859114925366,1940
"129","OR",0.255329885764932,1940
"130","PA",0.270340191349967,1940
"131","SC",0.0289141000228497,1940
"132","SD",0.504366633959061,1940
"133","TN",0.0431286921279606,1940
"134","TX",0.275825174927941,1940
"135","UT",0.108114047153486,1940
"136","VA",0.0736318966637859,1940
"137","VT",0.153941583205012,1940
"138","WA",0.253651072366345,1940
"139","WI",0.366930082331078,1940
"140","WV",0.0409993954214126,1940
"141","WY",0.333755832956962,1940
"142","AL",0.167879171295427,1950
"143","AR",0.206021280340849,1950
"144","AZ",0.457345901952465,1950
"145","CA",0.572295436739869,1950
"146","CO",0.641426092165356,1950
"147","CT",0.494056018974312,1950
"148","DE",0.529123370781013,1950
"149","FL",0.27730710263925,1950
"150","GA",0.237594451338761,1950
"151","IA",0.792536541179635,1950
"152","ID",0.69846198336822,1950
"153","IL",0.705019738837276,1950
"154","IN",0.633470840264584,1950
"155","KS",0.787118378967426,1950
"156","KY",0.224025597538576,1950
"157","LA",0.217769915195063,1950
"158","MA",0.540130966367653,1950
"159","MD",0.560640601811763,1950
"160","ME",0.375191889911021,1950
"161","MI",0.667163904445154,1950
"162","MN",0.79800512161901,1950
"163","MO",0.421228182604348,1950
"164","MS",0.136645782935906,1950
"165","MT",0.767409512871602,1950
"166","NC",0.227033598994253,1950
"167","ND",0.887023974984591,1950
"168","NE",0.809409755187142,1950
"169","NH",0.398904622344722,1950
"170","NJ",0.598019879658828,1950
"171","NM",0.450242341617634,1950
"172","NV",0.558749575680652,1950
"173","NY",0.613453687889751,1950
"174","OH",0.631092102293536,1950
"175","OK",0.5347628708412,1950
"176","OR",0.6456380543684,1950
"177","PA",0.592728991549592,1950
"178","SC",0.162397446781432,1950
"179","SD",0.81192019407283,1950
"180","TN",0.203413985507174,1950
"181","TX",0.520533852605038,1950
"182","UT",0.545760091322088,1950
"183","VA",0.27595039172574,1950
"184","VT",0.446304773133533,1950
"185","WA",0.615141545113355,1950
"186","WI",0.726207386706123,1950
"187","WV",0.152001807567158,1950
"188","WY",0.69298412955785,1950
"189","AL",0.292683690243781,1954
"190","AR",0.342471803048916,1954
"191","AZ",0.553677722545014,1954
"192","CA",0.668929058650656,1954
"193","CO",0.754348049291014,1954
"194","CT",0.629148985740175,1954
"195","DE",0.748461041113158,1954
"196","FL",0.403590912352131,1954
"197","GA",0.398364746875509,1954
"198","IA",0.877118067287288,1954
"199","ID",0.80411070578098,1954
"200","IL",0.820976099976492,1954
"201","IN",0.776699559992912,1954
"202","KS",0.870916691915288,1954
"203","KY",0.368155142646897,1954
"204","LA",0.328750225564949,1954
"205","MA",0.385776757245352,1954
"206","MD",0.712225392930675,1954
"207","ME",0.524819910061913,1954
"208","MI",0.805249812068733,1954
"209","MN",0.884949633183614,1954
"210","MO",0.631374825572739,1954
"211","MS",0.259396366534343,1954
"212","MT",0.858438422054645,1954
"213","NC",0.380542223426894,1954
"214","ND",0.935914182122407,1954
"215","NE",0.887826163233362,1954
"216","NH",0.565233382703058,1954
"217","NJ",0.647614081004407,1954
"218","NM",0.506562047266168,1954
"219","NV",0.697802010457198,1954
"220","NY",0.754833453957536,1954
"221","OH",0.762842768958366,1954
"222","OK",0.636177919324717,1954
"223","OR",0.745908754219202,1954
"224","PA",0.74659174153688,1954
"225","SC",0.271988421481059,1954
"226","SD",0.900207072593056,1954
"227","TN",0.347250829184333,1954
"228","TX",0.602568221800021,1954
"229","UT",0.657942488321987,1954
"230","VA",0.444046329337827,1954
"231","VT",0.660630725993875,1954
"232","WA",0.74141753412502,1954
"233","WI",0.863305858306034,1954
"234","WV",0.292799408693369,1954
"235","WY",0.808086949164004,1954
"236","AL",0.537589001620164,1964
"237","AR",0.597212522911234,1964
"238","AZ",0.613814605871396,1964
"239","CA",0.733236128786064,1964
"240","CO",0.861141140784717,1964
"241","CT",0.701839127970567,1964
"242","DE",0.803603781731949,1964
"243","FL",0.590106632124936,1964
"244","GA",0.664022508059073,1964
"245","IA",0.927413162833231,1964
"246","ID",0.87490089115914,1964
"247","IL",0.913041061204206,1964
"248","IN",0.872263085060207,1964
"249","KS",0.90978883829413,1964
"250","KY",0.587752017347261,1964
"251","LA",0.571868327318571,1964
"252","MA",0.750237394184763,1964
"253","MD",0.847348619926359,1964
"254","ME",0.656841914586426,1964
"255","MI",0.924371256695263,1964
"256","MN",0.940011366591504,1964
"257","MO",0.803053539855309,1964
"258","MS",0.490487364137871,1964
"259","MT",0.894783908247247,1964
"260","NC",0.635723686297786,1964
"261","ND",0.952545861681906,1964
"262","NE",0.927297673661565,1964
"263","NH",0.737105874737852,1964
"264","NJ",0.723670214691152,1964
"265","NM",0.621407496386407,1964
"266","NV",0.817202658382859,1964
"267","NY",0.873345420310372,1964
"268","OH",0.86445337416109,1964
"269","OK",0.720993811479004,1964
"270","OR",0.792942987805685,1964
"271","PA",0.877074278783527,1964
"272","SC",0.548936244873837,1964
"273","SD",0.932478844155854,1964
"274","TN",0.583094528312955,1964
"275","TX",0.701434070664497,1964
"276","UT",0.818211189972482,1964
"277","VA",0.671760381629609,1964
"278","VT",0.848165946922995,1964
"279","WA",0.804291903526409,1964
"280","WI",0.923736487913758,1964
"281","WV",0.49286905336005,1964
"282","WY",0.867271533781574,1964
"283","AL",0.842587091599938,1969
"284","AR",0.843264523551334,1969
"285","AZ",0.588932968020819,1969
"286","CA",0.746606899488412,1969
"287","CO",0.884079720322124,1969
"288","CT",0.813189187738016,1969
"289","DE",0.836404750969586,1969
"290","FL",0.761019626452849,1969
"291","GA",0.849763699440171,1969
"292","IA",0.920281856841622,1969
"293","ID",0.90259657380563,1969
"294","IL",0.919131773596232,1969
"295","IN",0.888595307006101,1969
"296","KS",0.906019922409454,1969
"297","KY",0.811891181515095,1969
"298","LA",0.871848614498992,1969
"299","MA",0.744783160950826,1969
"300","MD",0.890256186287069,1969
"301","ME",0.827771444306108,1969
"302","MI",0.933529573934303,1969
"303","MN",0.928494150560153,1969
"304","MO",0.881388356083849,1969
"305","MS",0.859481233265062,1969
"306","MT",0.910458949408669,1969
"307","NC",0.837588425617389,1969
"308","ND",0.938127259773446,1969
"309","NE",0.916333501769863,1969
"310","NH",0.849967385293096,1969
"311","NJ",0.811229274591243,1969
"312","NM",0.70085508659336,1969
"313","NV",0.880171785965115,1969
"314","NY",0.93267397310533,1969
"315","OH",0.898211910229681,1969
"316","OK",0.837622277784591,1969
"317","OR",0.858124249504686,1969
"318","PA",0.927882821186182,1969
"319","SC",0.863561289024784,1969
"320","SD",0.91554301964366,1969
"321","TN",0.836386672840404,1969
"322","TX",0.772208933646751,1969
"323","UT",0.879198890880151,1969
"324","VA",0.862748744649899,1969
"325","VT",0.933065516390212,1969
"326","WA",0.837233239228402,1969
"327","WI",0.934005200717863,1969
"328","WV",0.801565722324185,1969
"329","WY",0.866543691088122,1969
